Day Monday
CRN    Dept  Coursenum  Class Title                     Start Time  End Time  Room
-----  ----  ---------  ------------------------------  ----------  --------  -----------
61224  USAF  2050-01    AIR_AND_SPACE_STUDIES_300A      07:00AM     09:50AM   LOW_3116   
61225  USAF  2070-01    AIR_AND_SPACE_STUDIES_400A      07:00AM     09:50AM   DARRIN_232 
62368  BIOL  4630-01    MOLECULAR_BIOLOGY_II            08:00AM     09:50AM   J-ROWL_2C25
62957  BIOL  6690-01    ADV_MOLECULAR_BIOLOGY           08:00AM     09:50AM   J-ROWL_2C25
61605  CHEM  1100-08    CHEMISTRY_I                     08:00AM     10:50AM   WALKER_5113
64570  CHEM  1600-01    MATERIALS_SCIENCE               08:00AM     09:50AM   WALKER_6113
61612  CHEM  4530-02    MODERN_TECHNIQUES_IN_CHEMISTRY  08:00AM     10:50AM   WALKER_3109
65056  CIVL  6240-01    INTELLIGENT_TRANSPORTATION_SYS  08:00AM     09:50AM   DARRIN_235 
65392  COMM  2660-03    INTRODUCTION_TO_GRAPHICS        08:00AM     09:50AM   SAGE_2411  
61009  ENGR  1100-01    INTRO_TO_ENGR_ANALYSIS          08:00AM     09:50AM   LOW_4050   
61024  ENGR  1600-01    MATERIALS_SCIENCE_FOR_ENGINEER  08:00AM     09:50AM   WALKER_6113
61025  ENGR  2050-01    INTRO_ENGINEERING_DESIGN        08:00AM     09:50AM   JONSSN_3232
61032  ENGR  2090-01    ENGINEERING_DYNAMICS            08:00AM     09:50AM   SAGE_3101  
64370  ENGR  2090-03    ENGINEERING_DYNAMICS            08:00AM     09:50AM   LOW_3039   
61033  ENGR  2250-01    THERMAL_AND_FLUIDS_ENGR_I       08:00AM     09:50AM   SAGE_5101  
63496  ENGR  2300-01    ELECTRONIC_INSTRUMENTATION      08:00AM     09:50AM   JONSSN_4201
64635  ENGR  2600-07    MODELING_&_ANALYSIS_UNCERTAINT  08:00AM     09:20AM   JONSSN_4309
62261  ENGR  4760-01    ENGINEERING_ECONOMICS           08:00AM     09:50AM   SAGE_4101  
64827  IHSS  1140-03    MINDS_AND_MACHINES              08:00AM     09:20AM   SAGE_4711  
65484  IHSS  1200-02    PRINCIPLES_OF_ECONOMICS         08:00AM     09:50AM   SAGE_3303  
65299  IHSS  1350-01    LAW,_VALUES,_AND_PUBLIC_POLICY  08:00AM     09:50AM   SAGE_4112  
64674  IHSS  1970-01    DEEP_LISTENING                  08:00AM     09:50AM   WEST_326   
64578  ISCI  1600-01    MATERIALS_SCIENCE               08:00AM     09:50AM   WALKER_6113
63446  MATH  1010-29    CALCULUS_I                      08:00AM     08:50AM   EATON_216  
63447  MATH  1010-30    CALCULUS_I                      08:00AM     08:50AM   EATON_216  
61118  MATH  1500-01    CALC_I_FOR_ARCH,_MGMT_&__HASS   08:00AM     08:50AM   EATON_215  
63924  MATH  2010-17    MULTIVAR_CALC_&_MATRIX_ALGEBRA  08:00AM     08:50AM   LOW_3045   
64533  MATH  2010-21    MULTIVAR_CALC_&_MATRIX_ALGEBRA  08:00AM     08:50AM   CARNEG_206 
61417  MATH  2400-17    INTRO_DIFFERENTIAL_EQUATIONS    08:00AM     08:50AM   LOW_4034   
61144  MATH  4400-01    ORDINARY_DIFFEQ_AND_DYNAMICAL   08:00AM     09:50AM   RCKTTS_203 
63535  MGMT  1100-06    INTRO_TO_MANAGEMENT             08:00AM     09:50AM   PITTS_4206 
64312  MGMT  2100-02    STATISTICAL_METHODS             08:00AM     09:50AM   PITTS_4114 
61407  MGMT  2320-02    MANAGERIAL_FINANCE              08:00AM     09:50AM   DARRIN_239 
62062  MGMT  4530-01    STARTING_UP_A_NEW_VENTURE       08:00AM     09:50AM   PITTS_5216 
62057  MGMT  6630-01    STARTING_UP_A_NEW_VENTURE       08:00AM     09:50AM   PITTS_5216 
61059  PHYS  1100-01    PHYSICS_I                       08:00AM     09:50AM   J-ROWL_2C06
64291  PHYS  1100-14    PHYSICS_I                       08:00AM     09:50AM   J-ROWL_2C30
62559  PHYS  1150-01    PHYSICS_I_HONORS                08:00AM     09:50AM   SAGE_3510  
62560  PHYS  1150-02    PHYSICS_I_HONORS                08:00AM     09:50AM   SAGE_3510  
64381  PHYS  1150-03    PHYSICS_I_HONORS                08:00AM     09:50AM   SAGE_3510  
61064  PHYS  1200-01    PHYSICS_II                      08:00AM     09:50AM   DARRIN_308 
61381  PHYS  1200-02    PHYSICS_II                      08:00AM     09:50AM   DARRIN_308 
61065  PHYS  1200-03    PHYSICS_II                      08:00AM     09:50AM   DARRIN_308 
61066  PHYS  1200-04    PHYSICS_II                      08:00AM     09:50AM   DARRIN_308 
61070  PHYS  1200-05    PHYSICS_II                      08:00AM     09:50AM   DARRIN_308 
64574  PHYS  1600-01    MATERIALS_SCIENCE               08:00AM     09:50AM   WALKER_6113
63473  PSYC  4400-01    PERSONALITY                     08:00AM     09:50AM   TROY_2012  
65254  STSS  4967-11    PD2_TECH_ISSUES_&_SOLUTIONS     08:00AM     09:50AM   CARNEG_101 
61184  USNA  1010-01    INTRODUCTION_TO_NAVAL_SCIENCE   08:00AM     09:50AM   ARMORY_209 
61188  USNA  2070-01    NAVAL_SHIPS_SYSTEMS_II          08:00AM     09:50AM   ARMORY_302 
63437  BMED  4580-01    BIOMEDICAL_FLUID_MECHANICS      08:30AM     09:50AM   CARNEG_112 
63436  BMED  6480-01    BIOMEDICAL_FLUID_MECHANICS      08:30AM     09:50AM   CARNEG_112 
64003  CHME  4963-01    CAREERS_IN_CHEMICAL_ENGR        08:30AM     09:50AM   RCKTTS_211 
65241  ARCH  6320-01    BUILT_ECOLOGIES_1               09:00AM     11:50AM   SAGE_3704  
64615  BMED  4420-01    CLINICAL_ORTHOPAEDICS_&_RESRCH  09:00AM     09:50AM   DARRIN_337 
64616  BMED  6420-01    CLINICAL_ORTHOPAEDICS_&_RESRCH  09:00AM     09:50AM   DARRIN_337 
61596  CHEM  4410-01    MACROSCOPIC_PHYSICAL_CHEMISTRY  09:00AM     09:50AM   DARRIN_318 
64997  CHEM  4440-01    PHYSICAL_CHEM_FOR_LIFE_SCIENCE  09:00AM     09:50AM   DARRIN_318 
63669  CSCI  4350-01    DATA_SCIENCE                    09:00AM     11:50AM   LALLY_104  
63670  CSCI  6350-01    DATA_SCIENCE                    09:00AM     11:50AM   LALLY_104  
